路線,餐廳名稱,地址,Y,X
台東-花蓮,全美行,台東縣池上鄉中正路1號,23.12575822,121.2197886
台東-花蓮,愛嬌姨茶餐廳,955台東縣鹿野鄉高台路109巷32弄9號,22.92800514,121.125606
