路線,餐廳名稱,地址,Y,X
宜蘭-台北,十分溜哥燒烤雞翅包飯,新北市平溪區十分街52號,25.04129918,121.7753412
宜蘭-台北,七堵家傳營養三明治,基隆市七堵區南興路28號,25.09745931,121.7144264
