路線,餐廳名稱,地址,Y,X
花蓮-宜蘭,液香扁食,花蓮縣花蓮市信義街42號,23.9746221,121.6040708
花蓮-宜蘭,羅東碳烤燒餅餅店,宜蘭縣羅東鎮南門路32號,24.6729474,121.769111
