路線,餐廳名稱,地址,Y,X
新竹-台中,（東北香粑粑）白沙屯美食,苗栗縣通霄鎮四鄰23號,24.57121388,120.710044
新竹-台中,一品香水煎包專賣店,台中市大甲區育德路58號,24.34601633,120.6231341
新竹-台中,發愣吃VARMT - 勤美店,403台中市西區公正路133號,24.14889777,120.6619353
