路線,餐廳名稱,地址,Y,X
台中-嘉義,阿添蛤仔麵,彰化縣彰化市民族路455號,24.07625892,120.5401109
台中-嘉義,"西螺 脆皮臭豆腐
",雲林縣西螺鎮光復西路95號648,23.79691419,120.462038
台中-嘉義,民主火雞肉飯,嘉義市東區民族路149號,23.47661676,120.4574307
