路線,餐廳名稱,地址,Y,X
嘉義-高雄,味泰豐香雞排,台南市善化區忠孝路50號,23.13234329,120.3032293
嘉義-高雄,城邊真味鱔魚意麵 ,台南市東區東門路一段235號,22.98747192,120.2171571
嘉義-高雄,Temperature Studio/溫度劑,高雄市岡山區公園東路50號,22.79956445,120.2923181
