路線,餐廳名稱,地址,Y,X
台北-新竹,游記百年油飯,桃園市大溪區民權路17號,24.8841144,121.2880109
台北-新竹,關西牛肉捲餅,新竹縣關西鎮南京路10號,24.79200722,121.1771009
台北-新竹,廟口鴨香飯,新竹市北區中山路142號,24.80411538,120.9645126
