路線,名稱,地址,Y,X
高雄-屏東,龍虎塔,高雄市左營區蓮潭路9號,22.68052243,120.2924786
高雄-屏東,大鵬灣國家風景區,屏東縣東港鎮大潭路169號,22.45710377,120.4789185
高雄-屏東,國立海洋生物博物館,屏東縣車城鄉後灣路2號,22.04606365,120.6988983
