路線,名稱,地址,Y,X
台中-嘉義,八卦山大佛風景區,彰化縣彰化市溫泉路31號,24.07850577,120.54882
台中-嘉義,員林神社鳥居,彰化縣員林市出水巷15-30號號,23.94871116,120.6067348
台中-嘉義,嘉義北門驛,嘉義市東區共和路128號,23.48770683,120.4546249
