路線,名稱,地址,Y,X
嘉義-高雄,嘉油鐵馬道,嘉義市西區世賢路四段600,23.46226863,120.4472855
嘉義-高雄,臺南孔廟,台南市中西區南門路2號,22.9905536,120.2040357
嘉義-高雄,K.A.T 橋仔頭糖廠藝術村,高雄市橋頭區興糖路1號,22.75365716,120.316047
