路線,名稱,地址,Y,X
台東-花蓮,鹿野高台,台東縣鹿野鄉高台路46號,22.91649742,121.1215962
台東-花蓮,臺東池上錦新三號道路 伯朗大道,台東縣池上鄉錦新三號道路,23.09894811,121.2129923
